instrument_id,ticker,name,asset_type,sector,telda_available,telda_verified_on
MICH,MICH,MICH,EQUITY,,true,2026-08-25
MFPC,MFPC,MFPC,EQUITY,,true,2026-08-25
MHOT,MHOT,MHOT,EQUITY,,true,2026-08-25
MKIT,MKIT,MKIT,EQUITY,,true,2026-08-25
ATQA,ATQA,ATQA,EQUITY,,true,2026-08-25
MOSC,MOSC,MOSC,EQUITY,,true,2026-08-25
MTIE,MTIE,MTIE,EQUITY,,true,2026-08-25
WATP,WATP,WATP,EQUITY,,true,2026-08-25
SMPP,SMPP,SMPP,EQUITY,,true,2026-08-25
MOIN,MOIN,MOIN,EQUITY,,true,2026-08-25
MBEG,MBEG,MBEG,EQUITY,,true,2026-08-25
MEPA,MEPA,MEPA,EQUITY,,true,2026-08-25
MPCI,MPCI,MPCI,EQUITY,,true,2026-08-25
MENA,MENA,MENA,EQUITY,,true,2026-08-25
WCDF,WCDF,WCDF,EQUITY,,true,2026-08-25
MEGM,MEGM,MEGM,EQUITY,,true,2026-08-25
CEFM,CEFM,CEFM,EQUITY,,true,2026-08-25
MIPH,MIPH,MIPH,EQUITY,,true,2026-08-25
MBSC,MBSC,MBSC,EQUITY,,true,2026-08-25
MCQE,MCQE,MCQE,EQUITY,,true,2026-08-25
NARE,NARE,NARE,EQUITY,,true,2026-08-25
NCCW,NCCW,NCCW,EQUITY,,true,2026-08-25
NBKE,NBKE,NBKE,EQUITY,,true,2026-08-25
NHPS,NHPS,NHPS,EQUITY,,true,2026-08-25
NAPR,NAPR,NAPR,EQUITY,,true,2026-08-25
IDRE,IDRE,IDRE,EQUITY,,true,2026-08-25
NCGC,NCGC,NCGC,EQUITY,,true,2026-08-25
NIPH,NIPH,NIPH,EQUITY,,true,2026-08-25
MILS,MILS,MILS,EQUITY,,true,2026-08-25
NEDA,NEDA,NEDA,EQUITY,,true,2026-08-25
NINH,NINH,NINH,EQUITY,,true,2026-08-25
OFH,OFH,OFH,EQUITY,,true,2026-08-25
OLFI,OLFI,OLFI,EQUITY,,true,2026-08-25
OCPH,OCPH,OCPH,EQUITY,,true,2026-08-25
ODIN,ODIN,ODIN,EQUITY,,true,2026-08-25
ORAS,ORAS,ORAS,EQUITY,,true,2026-08-25
ORHD,ORHD,ORHD,EQUITY,,true,2026-08-25
OIH,OIH,OIH,EQUITY,,true,2026-08-25
ORWE,ORWE,ORWE,EQUITY,,true,2026-08-25
EBSC,EBSC,EBSC,EQUITY,,true,2026-08-25
PACH.CA,PACH.CA,PACH.CA,EQUITY,,true,2026-08-25
PHDC,PHDC,PHDC,EQUITY,,true,2026-08-25
SIMO,SIMO,SIMO,EQUITY,,true,2026-08-25
PRDC,PRDC,PRDC,EQUITY,,true,2026-08-25
PHGC,PHGC,PHGC,EQUITY,,true,2026-08-25
PRMH,PRMH,PRMH,EQUITY,,true,2026-08-25
PHTV,PHTV,PHTV,EQUITY,,true,2026-08-25
CCAP,CCAP,CCAP,EQUITY,,true,2026-08-25
QNBE,QNBE,QNBE,EQUITY,,true,2026-08-25
RAKT,RAKT,RAKT,EQUITY,,true,2026-08-25
RACC,RACC,RACC,EQUITY,,true,2026-08-25
RAYA,RAYA,RAYA,EQUITY,,true,2026-08-25
AREH,AREH,AREH,EQUITY,,true,2026-08-25
RKAZ,RKAZ,RKAZ,EQUITY,,true,2026-08-25
RTVC,RTVC,RTVC,EQUITY,,true,2026-08-25
RMTV,RMTV,RMTV,EQUITY,,true,2026-08-25
ROTO,ROTO,ROTO,EQUITY,,true,2026-08-25
RUBX,RUBX,RUBX,EQUITY,,true,2026-08-25
SIPC,SIPC,SIPC,EQUITY,,true,2026-08-25
SMFR,SMFR,SMFR,EQUITY,,true,2026-08-25
SNFC,SNFC,SNFC,EQUITY,,true,2026-08-25
SDTI,SDTI,SDTI,EQUITY,,true,2026-08-25
SKPC,SKPC,SKPC,EQUITY,,true,2026-08-25
SCEM,SCEM,SCEM,EQUITY,,true,2026-08-25
OCDI,OCDI,OCDI,EQUITY,,true,2026-08-25
SNFI,SNFI,SNFI,EQUITY,,true,2026-08-25
SCFM,SCFM,SCFM,EQUITY,,true,2026-08-25
SVCE,SVCE,SVCE,EQUITY,,true,2026-08-25
SPMD,SPMD,SPMD,EQUITY,,true,2026-08-25
CANA,CANA,CANA,EQUITY,,true,2026-08-25
HCFI,HCFI,HCFI,EQUITY,,true,2026-08-25
UBEE,UBEE,UBEE,EQUITY,,true,2026-08-25
TORA.CA,TORA.CA,TORA.CA,EQUITY,,true,2026-08-25
TYCN,TYCN,TYCN,EQUITY,,true,2026-08-25
VALU,VALU,VALU,EQUITY,,true,2026-08-25
UPMS,UPMS,UPMS,EQUITY,,true,2026-08-25
UASG,UASG,UASG,EQUITY,,true,2026-08-25
UNIT,UNIT,UNIT,EQUITY,,true,2026-08-25
UNIP,UNIP,UNIP,EQUITY,,true,2026-08-25
UEFM,UEFM,UEFM,EQUITY,,true,2026-08-25
UTOP,UTOP,UTOP,EQUITY,,true,2026-08-25
VLMRA,VLMRA,VLMRA,EQUITY,,true,2026-08-25
VERT,VERT,VERT,EQUITY,,true,2026-08-25
WKOL,WKOL,WKOL,EQUITY,,true,2026-08-25
ZMID,ZMID,ZMID,EQUITY,,true,2026-08-25
ETEL,ETEL,Telecom Egypt,EQUITY,,true,2026-08-25
TMGH,TMGH,Talaat Moustafa Group Holding,EQUITY,,true,2026-08-25
